,class,gt_id,start,end
0,root--tissue,{},1,20
1,root--instruments,{},1,20
2,root--tissue--kidney,{},1,20
3,root--tissue--other-organs,{},1,20
4,root--instruments--grasping,{},1,20
5,root--instruments--assistive-tool,{},1,20
6,root--instruments--assistive-tool--threading,{},1,20
7,root--instruments--assistive-tool--threading--suturing-needle,{8},1,20
8,root--tissue--other-organs--background-tissue,{0},1,20
9,root--instruments--grasping--manipulation,{},1,20
10,root--instruments--grasping--supportive,{},1,20
11,root--instruments--grasping--supportive--instrument-shaft,{1},1,20
12,root--instruments--grasping--supportive--clamps,{7},1,20
13,root--instruments--grasping--manipulation--instrument-clasper,{2},1,20
14,root--instruments--assistive-tool--ultrasound-probe,{11},1,20
15,root--instruments--assistive-tool--threading--thread,{6},1,20
16,root--instruments--assistive-tool--suction-instrument,{9},1,20
17,root--tissue--kidney--covered-kidney,{5},2,20
18,root--tissue--kidney--kidney-parenchyma,{4},3,20
19,root--instruments--grasping--manipulation--instrument-wrist,{3},4,20
20,root--tissue--other-organs--small-intestine,{10},5,20
