,class,gt_id,start,end
1,root--tissue--other-organs--background-tissue,{0},1,20
2,root--tissue--other-organs--small-intestine,{10},1,20
3,root--instruments--assistive-tool,"{6,8,9,11}",1,2
4,root--tissue--kidney--covered-kidney,{5},1,20
5,root--tissue--kidney--kidney-parenchyma,{4},1,20
6,root--instruments--grasping,"{1,2,3,7}",1,4
7,root--instruments--assistive-tool--ultrasound-probe,{11},2,20
8,root--instruments--assistive-tool--threading,"{8,6}",2,3
9,root--instruments--assistive-tool--suction-instrument,{9},2,20
10,root--instruments--assistive-tool--threading--suturing-needle,{8},3,20
11,root--instruments--assistive-tool--threading--thread,{6},3,20
12,root--instruments--grasping--manipulation,"{2,3}",4,5
13,root--instruments--grasping--supportive,"{1,7}",4,5
14,root--instruments--grasping--manipulation--instrument-clasper,{2},5,20
15,root--instruments--grasping--manipulation--instrument-wrist,{3},5,20
16,root--instruments--grasping--supportive--instrument-shaft,{1},5,20
17,root--instruments--grasping--supportive--clamps,{7},5,20
