,class,gt_id,start,end
0,root--void,{0},1,20
1,root--sky,{23},1,20
2,root--flat,"{7,8}",1,2
3,root--construction,"{11,12,13}",1,2
4,root--object,"{17,19,20}",1,3
5,root--nature,"{21,22}",1,3
6,root--human,"{24,25}",1,4
7,root--vehicle,"{26,27,28,31,32,33}",1,5
8,root--flat--road,{7},2,20
9,root--flat--sidewalk,{8},2,20
10,root--construction--building,{11},2,20
11,root--construction--wall,{12},2,20
12,root--construction--fence,{13},2,20
13,root--nature--vegetation,{21},2,20
14,root--nature--terrain,{22},2,20
15,root--object--pole,{17},2,20
16,root--object--traffic-light,{19},2,20
17,root--object--traffic-sign,{20},2,20
18,root--human--person,{24},2,20
19,root--human--rider,{25},2,20
20,root--vehicle--car,{26},2,20
21,root--vehicle--truck,{27},2,20
22,root--vehicle--bus,{28},2,20
23,root--vehicle--train,{31},2,20
24,root--vehicle--motorcycle,{32},2,20
25,root--vehicle--bicycle,{33},2,20
255,ignore,"{-1, 1, 2, 3, 4, 5, 6, 9, 10, 14, 15, 16, 18, 29, 30}",0,20
