,class,gt_id,start,end
0,root--void,{0},1,20
1,root--bkg,{},1,20
2,root--obstacle,{},1,20
3,root--obstacle--static,{},1,20
4,root--obstacle--dynamic,{},1,20
5,root--bkg--flat,"{7,8}",1,2
6,root--bkg--non-drivable,{},1,20
7,root--bkg--non-drivable--nature,"{21,22}",1,20
8,root--bkg--non-drivable--sky,{23},1,20
9,root--obstacle--static--construction,"{11,12,13}",1,20
10,root--obstacle--static--object,"{17,19,20}",1,20
11,root--obstacle--dynamic--human,"{24,25}",1,20
12,root--obstacle--dynamic--vehicle,"{26,27,28,31,32,33}",1,20
13,root--bkg--flat--road,{7},2,20
14,root--bkg--flat--sidewalk,{8},2,20
15,root--obstacle--static--construction--concrete,{},2,20
16,root--obstacle--static--construction--concrete--building,{11},2,20
17,root--obstacle--static--construction--concrete--wall,{12},2,20
18,root--obstacle--static--construction--fence,{13},2,20
19,root--bkg--non-drivable--nature--vegetation,{21},3,20
20,root--bkg--non-drivable--nature--terrain,{22},3,20
21,root--obstacle--static--object--pole,{17},3,20
22,root--obstacle--static--object--traffic,{},3,20
23,root--obstacle--static--object--traffic--traffic-light,{19},3,20
24,root--obstacle--static--object--traffic--traffic-sign,{20},3,20
25,root--obstacle--dynamic--human--person,{24},4,20
26,root--obstacle--dynamic--human--rider,{25},4,20
27,root--obstacle--dynamic--vehicle--four-wheeled,{},4,20
28,root--obstacle--dynamic--vehicle--four-wheeled--car,{26},4,20
29,root--obstacle--dynamic--vehicle--four-wheeled--commercial,{},4,20
30,root--obstacle--dynamic--vehicle--four-wheeled--commercial--truck,{27},4,20
31,root--obstacle--dynamic--vehicle--four-wheeled--commercial--bus,{28},5,20
32,root--obstacle--dynamic--vehicle--train,{31},5,20
33,root--obstacle--dynamic--vehicle--two-wheeled,{},5,20
34,root--obstacle--dynamic--vehicle--two-wheeled--motorcycle,{32},5,20
35,root--obstacle--dynamic--vehicle--two-wheeled--bicycle,{33},5,20
255,ignore,"{-1, 1, 2, 3, 4, 5, 6, 9, 10, 14, 15, 16, 18, 29, 30}",0,20



