,class,gt_id,start,end
0,void,"{118, 119, 120, 121, 122, 123}",1,112
1,nature--mountain,{59},1,112
2,nature--sand,{60},1,112
3,nature--sky,{61},1,112
4,nature--snow,{62},1,112
5,nature--terrain,{63},1,112
6,nature--vegetation,{64},1,112
7,nature--water,{65},1,112
8,object--banner,{66},1,112
9,object--bench,{67},1,112
10,object--bike-rack,{68},1,112
11,object--catch-basin,{69},1,112
12,object--cctv-camera,{70},1,112
13,object--fire-hydrant,{71},1,112
14,object--junction-box,{72},1,112
15,object--mailbox,{73},1,112
16,object--manhole,{74},1,112
17,object--parking-meter,{75},1,112
18,object--phone-booth,{76},1,112
19,human--person--individual,{30},1,112
20,human--rider--bicyclist,{32},1,112
21,human--rider--motorcyclist,{33},1,112
22,human--rider--other-rider,{34},1,112
23,animal--bird,{0},1,112
24,animal--ground-animal,{1},1,112
25,object--street-light,{84},1,112
26,object--support--pole,{85},1,112
27,object--support--traffic-sign-frame,{87},1,112
28,object--support--utility-pole,{88},1,112
29,object--traffic-cone,{89},1,112
30,marking--continuous--dashed,{35},1,112
31,marking--continuous--solid,{36},1,112
32,marking--continuous--zigzag,{37},1,112
33,marking--discrete--arrow--left,{39},1,112
34,marking--discrete--arrow--other,{40},1,112
35,marking--discrete--arrow--right,{41},1,112
36,marking--discrete--arrow--split-left-or-straight,{42},1,112
37,marking--discrete--arrow--split-right-or-straight,{43},1,112
38,marking--discrete--arrow--straight,{44},1,112
39,marking--discrete--crosswalk-zebra,{45},1,112
40,marking--discrete--give-way-row,{46},1,112
41,marking--discrete--give-way-single,{47},1,112
42,marking--discrete--hatched--chevron,{48},1,112
43,marking--discrete--hatched--diagonal,{49},1,112
44,marking--discrete--other-marking,{50},1,112
45,marking--discrete--stop-line,{51},1,112
46,marking--discrete--symbol--bicycle,{52},1,112
47,marking--discrete--symbol--other,{53},1,112
48,marking--discrete--text,{54},1,112
49,construction--barrier--concrete-block,{3},1,112
50,construction--barrier--curb,{4},1,112
51,construction--barrier--fence,{5},1,112
52,construction--barrier--guard-rail,{6},1,112
53,construction--barrier--other-barrier,{7},1,112
54,construction--barrier--road-median,{8},1,112
55,construction--barrier--road-side,{9},1,112
56,construction--barrier--separator,{10},1,112
57,construction--barrier--temporary,{11},1,112
58,construction--barrier--wall,{12},1,112
59,construction--flat--bike-lane,{13},1,112
60,construction--flat--crosswalk-plain,{14},1,112
61,construction--flat--curb-cut,{15},1,112
62,construction--flat--driveway,{16},1,112
63,construction--flat--parking,{17},1,112
64,construction--flat--parking-aisle,{18},1,112
65,construction--flat--pedestrian-area,{19},1,112
66,construction--flat--rail-track,{20},1,112
67,construction--flat--road,{21},1,112
68,construction--flat--road-shoulder,{22},1,112
69,construction--flat--service-lane,{23},1,112
70,construction--flat--sidewalk,{24},1,112
71,construction--flat--traffic-island,{25},1,112
72,marking-only--continuous--dashed,{55},2,112
73,marking-only--discrete--crosswalk-zebra,{56},2,112
74,marking-only--discrete--other-marking,{57},2,112
75,marking-only--discrete--text,{58},2,112
76,construction--structure--bridge,{26},2,112
77,construction--structure--building,{27},2,112
78,construction--structure--garage,{28},2,112
79,construction--structure--tunnel,{29},2,112
80,object--water-valve,{117},2,112
81,object--sign--advertisement,{78},2,112
82,object--sign--back,{80},3,112
83,object--sign--information,{81},3,112
84,object--sign--other,{82},3,112
85,object--sign--store,{83},3,112
86,object--traffic-light--cyclists,{94},3,112
87,object--traffic-light--general-horizontal,{93},3,112
88,object--traffic-light--general-single,{90},3,112
89,object--traffic-light--general-upright,{92},3,112
90,object--traffic-light--other,{95},3,112
91,object--traffic-light--pedestrians,{91},3,112
92,object--traffic-sign--back,{97},4,112
93,object--traffic-sign--direction-back,{98},4,112
94,object--traffic-sign--direction-front,{99},4,112
95,object--traffic-sign--front,{100},4,112
96,object--traffic-sign--information-parking,{101},4,112
97,object--traffic-sign--temporary-back,{102},4,112
98,object--traffic-sign--temporary-front,{103},4,112
99,object--trash-can,{104},4,112
100,object--pothole,{77},4,112
101,object--vehicle--bicycle,{105},4,112
102,object--vehicle--boat,{106},5,112
103,object--vehicle--bus,{107},5,112
104,object--vehicle--car,{108},5,112
105,object--vehicle--caravan,{109},5,112
106,object--vehicle--motorcycle,{110},5,112
107,object--vehicle--on-rails,{111},5,112
108,object--vehicle--other-vehicle,{112},5,112
109,object--vehicle--trailer,{113},5,112
110,object--vehicle--truck,{114},5,112
111,object--vehicle--wheeled-slow,{116},5,112
