,class,gt_id,start,end
0,root--void,"{118, 119, 120, 121, 122, 123}",1,112
1,root--nature,{},1,112
2,root--object,{},1,113
3,root--object--static,{},1,129
4,root--object--static--flat,{},1,129
5,root--object--static--vertical,{},1,129
6,root--object--static--vertical--metal,{},1,129
7,root--object--static--vertical--flored,{},1,129
8,root--human,{},1,114
9,root--construction,{},1,115
10,root--animal,{},1,116
11,root--marking,{},1,117
12,root--human--rider,{},1,119
13,root--marking--continuous,{},1,120
14,root--marking--discrete,{},1,121
15,root--construction--barrier,{},1,123
16,root--construction--flat,{},1,124
17,root--object--static--vertical--support,{},1,129
18,root--marking--discrete--hatched,{},1,131
19,root--marking--discrete--symbol,{},1,132
20,root--marking--discrete--arrow,{},1,133
21,root--nature--mountain,{59},1,112
22,root--nature--sand,{60},1,112
23,root--nature--sky,{61},1,112
24,root--nature--snow,{62},1,112
25,root--nature--terrain,{63},1,112
26,root--nature--vegetation,{64},1,112
27,root--nature--water,{65},1,112
28,root--object--static--vertical--banner,{66},1,112
29,root--object--static--vertical--flored--bench,{67},1,112
30,root--object--static--vertical--flored--bike-rack,{68},1,112
31,root--object--static--flat--catch-basin,{69},1,112
32,root--object--static--vertical--cctv-camera,{70},1,112
33,root--object--static--vertical--fire-hydrant,{71},1,112
34,root--object--static--vertical--flored--junction-box,{72},1,112
35,root--object--static--vertical--mailbox,{73},1,112
36,root--object--static--flat--manhole,{74},1,112
37,root--object--static--vertical--flored--parking-meter,{75},1,112
38,root--object--static--vertical--flored--phone-booth,{76},1,112
39,root--human--person,{30},1,112
40,root--human--rider--bicyclist,{32},1,112
41,root--human--rider--motorcyclist,{33},1,112
42,root--human--rider--other-rider,{34},1,112
43,root--animal--bird,{0},1,112
44,root--animal--ground-animal,{1},1,112
45,root--object--static--vertical--street-light,{84},1,112
46,root--object--static--vertical--support--pole,{85},1,112
47,root--object--static--vertical--support--traffic-sign-frame,{87},1,112
48,root--object--static--vertical--support--utility-pole,{88},1,112
49,root--object--static--vertical--traffic-cone,{89},1,112
50,root--marking--continuous--dashed,{35},1,112
51,root--marking--continuous--solid,{36},1,112
52,root--marking--continuous--zigzag,{37},1,112
53,root--marking--discrete--arrow--left,{39},1,112
54,root--marking--discrete--arrow--other,{40},1,112
55,root--marking--discrete--arrow--right,{41},1,112
56,root--marking--discrete--arrow--split-left-or-straight,{42},1,112
57,root--marking--discrete--arrow--split-right-or-straight,{43},1,112
58,root--marking--discrete--arrow--straight,{44},1,112
59,root--marking--discrete--crosswalk-zebra,{45},1,112
60,root--marking--discrete--give-way-row,{46},1,112
61,root--marking--discrete--give-way-single,{47},1,112
62,root--marking--discrete--hatched--chevron,{48},1,112
63,root--marking--discrete--hatched--diagonal,{49},1,112
64,root--marking--discrete--other-marking,{50},1,112
65,root--marking--discrete--stop-line,{51},1,112
66,root--marking--discrete--symbol--bicycle,{52},1,112
67,root--marking--discrete--symbol--other,{53},1,112
68,root--marking--discrete--text,{54},1,112
69,root--construction--barrier--vertical,{},1,112
70,root--construction--barrier--flat,{},1,112
71,root--construction--barrier--vertical--concrete-block,{3},1,112
72,root--construction--barrier--flat--curb,{4},1,112
73,root--construction--barrier--vertical--fence,{5},1,112
74,root--construction--barrier--vertical--guard-rail,{6},2,112
75,root--construction--barrier--vertical--other-barrier,{7},2,112
76,root--construction--barrier--flat--road-median,{8},2,112
77,root--construction--barrier--flat--road-side,{9},2,112
78,root--construction--barrier--vertical--separator,{10},2,112
79,root--construction--barrier--vertical--temporary,{11},2,112
80,root--construction--barrier--vertical--wall,{12},2,112
81,root--construction--flat--drivable,{},2,112
82,root--construction--flat--pedestrian,{},2,112
83,root--construction--flat--pedestrian--bike-lane,{13},2,112
84,root--construction--flat--pedestrian--crosswalk-plain,{14},2,112
85,root--construction--flat--pedestrian--curb-cut,{15},2,112
86,root--construction--flat--drivable--driveway,{16},2,112
87,root--construction--flat--drivable--parking,{17},2,112
88,root--construction--flat--drivable--parking-aisle,{18},2,112
89,root--construction--flat--pedestrian--pedestrian-area,{19},2,112
90,root--construction--flat--rail-track,{20},2,112
91,root--construction--flat--drivable--road,{21},2,112
92,root--construction--flat--drivable--road-shoulder,{22},2,112
93,root--construction--flat--service-lane,{23},2,112
94,root--construction--flat--pedestrian--sidewalk,{24},2,112
95,root--construction--flat--pedestrian--traffic-island,{25},2,112
96,root--marking-only,{},2,118
97,root--marking-only--discrete,{},2,122
98,root--marking-only--dashed,{55},2,112
99,root--marking-only--discrete--crosswalk-zebra,{56},2,112
100,root--marking-only--discrete--other-marking,{57},2,112
101,root--marking-only--discrete--text,{58},2,112
102,root--construction--structure,{},2,125
103,root--construction--structure--bridge,{26},2,112
104,root--construction--structure--building,{27},2,112
105,root--construction--structure--garage,{28},2,112
106,root--construction--structure--tunnel,{29},2,112
107,root--object--static--vertical--water-valve,{117},2,112
108,root--object--static--vertical--sign,{},2,130
109,root--object--static--vertical--sign--advertisement,{78},2,112
110,root--object--static--vertical--sign--back,{80},3,112
111,root--object--static--vertical--sign--information,{81},3,112
112,root--object--static--vertical--sign--other,{82},3,112
113,root--object--static--vertical--sign--store,{83},3,112
114,root--object--static--vertical--traffic-light,{},3,126
115,root--object--static--vertical--traffic-light--cyclists,{94},3,112
116,root--object--static--vertical--traffic-light--general,{},3,112
117,root--object--static--vertical--traffic-light--general--horizontal,{93},3,112
118,root--object--static--vertical--traffic-light--general--single,{90},3,112
119,root--object--static--vertical--traffic-light--general--upright,{92},3,112
120,root--object--static--vertical--traffic-light--other,{95},3,112
121,root--object--static--vertical--traffic-light--pedestrians,{91},3,112
122,root--object--static--vertical--traffic-sign,{},3,127
123,root--object--static--vertical--traffic-sign--back,{97},3,112
124,root--object--static--vertical--traffic-sign--direction-back,{98},3,112
125,root--object--static--vertical--traffic-sign--direction-front,{99},3,112
126,root--object--static--vertical--traffic-sign--front,{100},3,112
127,root--object--static--vertical--traffic-sign--information-parking,{101},3,112
128,root--object--static--vertical--traffic-sign--temporary,{},3,112
129,root--object--static--vertical--traffic-sign--temporary--back,{102},3,112
130,root--object--static--vertical--traffic-sign--temporary--front,{103},3,112
131,root--object--static--vertical--trash-can,{104},3,112
132,root--object--static--flat--pothole,{77},3,112
133,root--object--vehicle,{},3,128
134,root--object--vehicle--2wheels,{},3,112
135,root--object--vehicle--long,{},3,112
136,root--object--vehicle--2wheels--bicycle,{105},3,112
137,root--object--vehicle--boat,{106},3,112
138,root--object--vehicle--long--bus,{107},3,112
139,root--object--vehicle--car,{108},3,112
140,root--object--vehicle--long--caravan,{109},3,112
141,root--object--vehicle--2wheels--motorcycle,{110},3,112
142,root--object--vehicle--on-rails,{111},3,112
143,root--object--vehicle--other-vehicle,{112},3,112
144,root--object--vehicle--long--trailer,{113},3,112
145,root--object--vehicle--long--truck,{114},3,112
146,root--object--vehicle--wheeled-slow,{116},3,112
