,class,gt_id,start,end
0,void,"{118, 119, 120, 121, 122, 123}",1,126
1,marking-only--continuous,{55},1,126
2,construction--flat,"{13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25}",1,4
3,nature--snow,{62},1,126
4,human--person,"{30, 31}",1,126
5,nature--vegetation,{64},1,126
6,object--sign,"{78, 79, 80, 81, 82, 83}",1,2
7,object--manhole,{74},1,126
8,marking-only--discrete,"{56, 57, 58}",1,5
9,object--catch-basin,{69},1,126
10,construction--structure,"{26, 27, 28, 29}",1,5
11,object--bench,{67},1,126
12,object--water-valve,{117},1,126
13,nature--sand,{60},1,126
14,object--support,"{88, 85, 86, 87}",1,4
15,nature--water,{65},1,126
16,animal--ground-animal,{1},1,126
17,object--traffic-cone,{89},1,126
18,nature--terrain,{63},1,126
19,construction--barrier,"{2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}",1,4
20,object--cctv-camera,{70},1,126
21,object--bike-rack,{68},1,126
22,nature--mountain,{59},1,126
23,object--vehicle,"{105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116}",1,5
24,object--traffic-sign,"{96, 97, 98, 99, 100, 101, 102, 103}",1,2
25,nature--sky,{61},1,126
26,object--banner,{66},1,126
27,marking--discrete,"{38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54}",1,3
28,object--phone-booth,{76},1,126
29,object--fire-hydrant,{71},1,126
30,marking--continuous,"{35, 36, 37}",1,2
31,object--junction-box,{72},1,126
32,object--street-light,{84},1,126
33,human--rider,"{32, 33, 34}",1,5
34,object--parking-meter,{75},1,126
35,object--traffic-light,"{90, 91, 92, 93, 94, 95}",1,4
36,object--trash-can,{104},1,126
37,object--pothole,{77},1,126
38,animal--bird,{0},1,126
39,object--mailbox,{73},1,126
40,marking--discrete--arrow--other,{40},2,126
41,marking--discrete--arrow--left,{39},2,126
42,marking--discrete--arrow--split-left-or-straight,{42},2,126
43,marking--discrete--other-marking,{50},2,126
44,marking--discrete--text,{54},2,126
45,marking--discrete--arrow--split-right-or-straight,{43},2,126
46,marking--discrete--arrow--straight,{44},2,126
47,marking--discrete--symbol--bicycle,{52},2,126
48,marking--discrete--stop-line,{51},2,126
49,marking--discrete--crosswalk-zebra,{45},2,126
50,marking--discrete--give-way-single,{47},2,126
51,marking--continuous--dashed,{35},2,126
52,marking--discrete--hatched--chevron,{48},2,126
53,marking--discrete--hatched--diagonal,{49},2,126
54,marking--discrete--arrow--right,{41},2,126
55,human--rider--motorcyclist,{33},2,126
56,marking--discrete--symbol--other,{53},2,126
57,human--rider--bicyclist,{32},2,126
58,human--rider--other-rider,{34},2,126
59,marking--continuous--zigzag,{37},2,126
60,marking--continuous--solid,{36},2,126
61,marking--discrete--give-way-row,{46},2,126
62,construction--flat--parking-aisle,{18},2,126
63,construction--flat--bike-lane,{13},2,126
64,construction--flat--traffic-island,{25},2,126
65,construction--flat--pedestrian-area,{19},2,126
66,construction--flat--curb-cut,{15},2,126
67,construction--flat--crosswalk-plain,{14},2,126
68,construction--flat--parking,{17},2,126
69,construction--flat--driveway,{16},2,126
70,construction--flat--sidewalk,{24},2,126
71,construction--flat--rail-track,{20},2,126
72,construction--flat--road-shoulder,{22},2,126
73,construction--flat--service-lane,{23},2,126
74,object--traffic-sign--temporary-back,{102},2,126
75,object--traffic-sign--back,{97},2,126
76,object--traffic-sign--temporary-front,{103},2,126
77,object--traffic-sign--direction-front,{99},2,126
78,object--traffic-sign--direction-back,{98},2,126
79,object--traffic-sign--information-parking,{101},2,126
80,construction--flat--road,{21},2,126
81,object--traffic-sign--front,{100},2,126
82,marking-only--discrete--crosswalk-zebra,{56},2,126
83,marking-only--discrete--text,{58},2,126
84,construction--barrier--road-median,{8},2,126
85,marking-only--discrete--other-marking,{57},2,126
86,construction--barrier--curb,{4},2,126
87,object--traffic-light--general-upright,{92},2,126
88,construction--barrier--wall,{12},2,126
89,construction--barrier--road-side,{9},2,126
90,construction--barrier--guard-rail,{6},2,126
91,object--traffic-light--cyclists,{94},2,126
92,construction--barrier--other-barrier,{7},2,126
93,object--traffic-light--other,{95},2,126
94,construction--barrier--temporary,{11},2,126
95,construction--barrier--fence,{5},2,126
96,object--support--traffic-sign-frame,{87},2,126
97,object--traffic-light--pedestrians,{91},2,126
98,object--traffic-light--general-horizontal,{93},2,126
99,object--support--pole,{85},2,126
100,object--traffic-light--general-single,{90},2,126
101,object--support--utility-pole,{88},2,126
102,construction--barrier--concrete-block,{3},2,126
103,construction--barrier--separator,{10},2,126
104,object--sign--advertisement,{78},2,126
105,object--sign--back,{80},2,126
106,construction--structure--garage,{28},2,126
107,object--vehicle--boat,{106},2,126
108,object--vehicle--bicycle,{105},2,126
109,construction--structure--building,{27},2,126
110,object--vehicle--car,{108},2,126
111,construction--structure--tunnel,{29},2,126
112,object--sign--other,{82},2,126
113,object--vehicle--caravan,{109},2,126
114,object--vehicle--truck,{114},2,126
115,construction--structure--bridge,{26},2,126
116,object--sign--information,{81},2,126
117,object--vehicle--motorcycle,{110},2,126
118,object--vehicle--bus,{107},2,126
119,object--vehicle--trailer,{113},2,126
120,object--vehicle--other-vehicle,{112},2,126
121,object--sign--store,{83},2,126
122,object--vehicle--on-rails,{111},2,126
123,object--vehicle--wheeled-slow,{116},2,126
