,class,gt_id,start,end
0,root--background,{0},1,20
1,root--interior,{},1,20
2,root--interior--accesories,{},1,20
3,root--human,{},1,20
4,root--human--non-sterlile,{},1,20
5,root--human--non-sterlile--constant,{},1,20
6,root--human--sterile,{},1,20
7,root--human--sterile--surgeon,{},1,20
8,root--human--sterile--support-staff,{},1,20
9,root--interior--instrument,{},1,20
10,root--interior--accesories--tables,{},1,20
11,root--interior--technology,{},1,20
12,root--interior--technology--peripheral,{},1,20
13,root--interior--accesories--tables--instrument_table,{1},1,20
14,root--interior--technology--peripheral--ae,{2},1,20
15,root--interior--accesories--tables--operation_table,{3},1,20
16,root--interior--accesories--tables--mps_station,{4},1,20
17,root--interior--accesories--patient,{5},1,20
18,root--interior--accesories--drape,{6},1,20
19,root--human--sterile--support-staff--anest,{7},1,20
20,root--human--sterile--support-staff--circulator,{8},1,20
21,root--human--sterile--surgeon--assistant_surgeon,{9},1,20
22,root--human--sterile--surgeon--head_surgeon,{10},1,20
23,root--human--non-sterlile--constant--mps,{11},1,20
24,root--human--non-sterlile--constant--nurse,{12},2,20
25,root--interior--instrument--drill,{13},3,20
26,root--interior--instrument--hammer,{15},4,20
27,root--interior--instrument--saw,{16},5,20
28,root--interior--technology--peripheral--tracker,{17},6,20
29,root--interior--technology--medical,{},7,20
30,root--interior--technology--medical--mako_robot,{18},7,20
31,root--interior--technology--medical--monitorm,{24},8,20
