,class,gt_id,start,end
0,root--background,{0},1,20
1,root--interior,{},1,20
2,root--interior--accesories,{},1,20
3,root--interior--instrument,{},1,20
4,root--interior--accesories--tables,{},1,20
5,root--human,{},1,20
6,root--interior--technology,"{2,17,18,24,25}",1,5
7,root--interior--accesories--tables--instrument_table,{1},1,20
8,root--interior--accesories--tables--operation_table,{3},1,20
9,root--interior--accesories--tables--mps_station,{4},1,20
10,root--interior--accesories--patient,{5},1,20
11,root--interior--accesories--drape,{6},1,20
12,root--interior--instrument--drill,{13},1,20
13,root--interior--instrument--hammer,{15},1,20
14,root--interior--instrument--saw,{16},1,20
15,root--human--op,"{7,8,9,10,11,12,26}",1,3
16,root--human--op--sterile,{},2,20
17,root--human--op--sterile--surgeon,{},2,20
18,root--human--op--sterile--support-staff,{},2,20
19,root--human--op--sterile--support-staff--anest,{7},2,20
20,root--human--op--sterile--support-staff--circulator,{8},2,20
21,root--human--op--sterile--surgeon--assistant_surgeon,{9},2,20
22,root--human--op--sterile--surgeon--head_surgeon,{10},2,20
23,root--human--op--non-sterlile,{},3,20
24,root--human--op--non-sterlile--constant,{},3,20
25,root--human--op--non-sterlile--constant--mps,{11},3,20
26,root--human--op--non-sterlile--constant--nurse,{12},3,20
27,root--human--op--non-sterlile--unrelated_person,{26},3,20
28,root--interior--technology--peripheral,{},4,20
29,root--interior--technology--peripheral--ae,{2},4,20
30,root--interior--technology--peripheral--tracker,{17},4,20
31,root--interior--technology--medical,{},5,20
32,root--interior--technology--medical--mako_robot,{18},5,20
33,root--interior--technology--medical--monitorm,{24},5,20
34,root--interior--technology--medical--c_arm,{25},5,20
