,class,gt_id,start,end
0,root--void,{},1,217
1,root--furn--bed--cover--bed_blanket,{168},1,217
2,root--furn--bed--cover--surgical_cover,{31},1,217
3,root--furn--bed--stretcher--emergency_stretcher,{151},1,217
4,root--furn--bed--stretcher--stretcher_normal,"{213, 14}",1,217
5,root--furn--bed--surgery_bed--hospital_bed,{124},1,217
6,root--furn--bed--surgery_bed--medical_bed,{73},1,217
7,root--furn--bed--surgery_bed--surgery_bed_normal,"{105, 101, 29}",1,217
8,root--furn--bed--surgery_bed--x_ray_bed,{50},1,217
9,root--furn--chair--normal--medical_chair,{95},1,217
10,root--furn--chair--normal--office_chair,{88},1,217
11,root--furn--chair--normal--seating_chair,{34},1,217
12,root--furn--chair--surgical--surgical_saddle_seat,{214},1,217
13,root--furn--chair--surgical--surgical_seat,"{68, 15}",1,217
14,root--furn--chair--transport--transport_chair,{137},1,217
15,root--furn--chair--transport--wheelchair,{127},1,217
16,root--furn--curtain--normal_curtain--normal_curtain_x,{17},1,217
17,root--furn--curtain--medical_curtain--hospital_curtain,{130},1,217
18,root--furn--curtain--normal_curtain--jalousie,{100},1,217
19,root--furn--curtain--medical_curtain--medical_curtain_x,{46},1,217
20,root--medical_tools--infant_care--infant_incubator,{189},1,217
21,root--medical_tools--infant_care--infant_radiant_warmer,{198},1,217
22,root--misc--documents--book,"{114, 91}",1,217
23,root--misc--documents--clock,"{120, 165}",1,217
24,root--misc--documents--desease_history,"{177, 153}",1,217
25,root--misc--electric--cable_duct,{98},1,217
26,root--misc--electric--electric_outlet,{104},1,217
27,root--misc--electric--light_switch,{161},1,217
28,root--misc--electronics--air_conditioner,{176},1,217
29,root--misc--electronics--ceiling_air_conditioner,{185},1,217
30,root--misc--electronics--ceiling_lamp,"{48, 85}",1,217
31,root--misc--electronics--keyboard,{92},1,217
32,root--misc--electronics--pc_case,{163},1,217
33,root--misc--electronics--study_lamp,{119},1,217
34,root--misc--interior--furniture--armchair,{125},1,217
35,root--misc--interior--furniture--sofa,{128},1,217
36,root--misc--interior--furniture--wash_basin,{110},1,217
37,root--misc--interior--furniture--radiator,{150},1,217
38,root--misc--interior--furniture--printer,{155},1,217
39,root--misc--interior--in_structure--column,{186},1,217
40,root--misc--interior--in_structure--doorjamb,{183},1,217
41,root--misc--interior--in_structure--exit_sign,{37},1,217
42,root--misc--interior--in_structure--interior,{27},1,217
43,root--misc--interior--wall_decor--calendar,{178},1,217
44,root--misc--interior--wall_decor--painting,{133},1,217
45,root--misc--interior--wall_decor--poster,{84},1,217
46,root--misc--interior--wall_decor--clipboard,{93},1,217
47,root--misc--interior--plant,{122},1,217
48,root--misc--interior--vessel--mug,{83},1,217
49,root--misc--interior--vessel--orange_vase,{134},1,217
50,root--misc--interior--personal_item--coat,{87},1,217
51,root--misc--interior--personal_item--mouse_pad,"{152, 89, 96}",1,217
52,root--misc--interior--trash_bin,"{82, 182}",1,217
53,root--misc--interior--object--barrel,{180},1,217
54,root--misc--interior--object--sphere,{66},1,217
55,root--misc--interior--furniture--tv,{126},1,217
56,root--misc--electronics--cable_spline,{200},1,217
57,root--misc--electronics--skysphere,"{211, 12}",1,217
58,root--misc--other--armstrong,{97},1,217
59,root--misc--other--cover_other,{71},1,217
60,root--misc--other--glass_partition,{113},1,217
61,root--misc--other--onebay_doc_station,{175},1,217
62,root--misc--other--ventilation_grill,"{170, 102}",1,217
63,root--misc--safety--fire_extinguisher,{140},1,217
64,root--misc--safety--fire_stand,{142},1,217
65,root--misc--interior--hand_dryer,{172},1,217
66,root--misc--interior--vessel--sanitizer_dispenser,{90},1,217
67,root--misc--storage--first_aid_kit,"{158, 159}",1,217
68,root--misc--interior--personal_item--pencil_case,{156},1,217
69,root--misc--storage--storage_box,"{33, 201}",1,217
70,root--misc--storage--suitcase,{204},1,217
