,class,gt_id,start,end
0,void--void,{},1,217
1,bed--cover--bed_blanket,{168},1,217
2,bed--cover--surgical_cover,{31},1,217
3,bed--stretcher--emergency_stretcher,{151},1,217
4,bed--stretcher--stretcher,"{213, 14}",1,217
5,bed--surgery_bed--hospital_bed,{124},1,217
6,bed--surgery_bed--medical_bed,{73},1,217
7,bed--surgery_bed--surgery_bed,"{105, 101, 29}",1,217
8,bed--surgery_bed--x_ray_bed,{50},1,217
9,big_medical_tools--anesthesia--anesthesia_machine,"{18, 212, 30, 60}",1,217
10,big_medical_tools--anesthesia--medical_pandent,"{121, 42}",1,217
11,big_medical_tools--diagnostics--ct_scan_machine,{49},1,217
12,big_medical_tools--diagnostics--radiography_machine,{116},1,217
13,big_medical_tools--diagnostics--x_ray_control_unit,{193},1,217
14,big_medical_tools--diagnostics--x_ray_scan,{19},1,217
15,big_medical_tools--monitoring--monitor,{40},1,217
16,big_medical_tools--monitoring--x_ray_display_machine,"{38, 7}",1,217
17,big_medical_tools--other--defibrilator,"{160, 16}",1,217
18,big_medical_tools--other--medical_bag,{141},1,217
19,big_medical_tools--other--medical_bag_door,{143},1,217
20,big_medical_tools--other--medical_winch,{131},1,217
21,big_medical_tools--other--operating_lamp,{22},1,217
22,big_medical_tools--other--surgical_sink,{64},1,217
23,big_medical_tools--robotics--airo_system,{117},1,217
24,big_medical_tools--robotics--mako_robotic_arm,"{209, 205}",1,217
25,big_medical_tools--support--hospital_wall_mount,{123},1,217
26,big_medical_tools--support--medical_air_compressor,{103},1,217
27,big_medical_tools--support--medical_lamp,{72},1,217
28,big_medical_tools--ventilation--oxigen_cylinder,{149},1,217
29,chair--normal--medical_chair,{95},1,217
30,chair--normal--office_chair,{88},1,217
31,chair--normal--seating_chair,{34},1,217
32,chair--surgical--surgical_saddle_seat,{214},1,217
33,chair--surgical--surgical_seat,"{68, 15}",1,217
34,chair--transport--transport_chair,{137},1,217
35,chair--transport--wheelchair,{127},1,217
36,curtain--types--curtain,{17},1,217
37,curtain--types--hospital_curtain,{130},1,217
38,curtain--types--jalousie,{100},1,217
39,curtain--types--medical_curtain,{46},1,217
40,infant_care--infant_incubator,{189},1,217
41,infant_care--infant_radiant_warmer,{198},1,217
42,misc--documents--book,"{114, 91}",1,217
43,misc--documents--clock,"{120, 165}",1,217
44,misc--documents--desease_history,"{177, 153}",1,217
45,misc--electric--cable_duct,{98},1,217
46,misc--electric--electric_outlet,{104},1,217
47,misc--electric--light_switch,{161},1,217
48,misc--electronics--air_conditioner,{176},1,217
49,misc--electronics--ceiling_air_conditioner,{185},1,217
50,misc--electronics--ceiling_lamp,"{48, 85}",1,217
51,misc--electronics--keyboard,{92},1,217
52,misc--electronics--pc_case,{163},1,217
53,misc--electronics--study_lamp,{119},1,217
54,misc--interior--armchair,{125},1,217
55,misc--interior--barrel,{180},2,217
56,misc--interior--cable_spline,{200},2,217
57,misc--interior--calendar,{178},2,217
58,misc--interior--clipboard,{93},2,217
59,misc--interior--coat,{87},2,217
60,misc--interior--column,{186},2,217
61,misc--interior--doorjamb,{183},2,217
62,misc--interior--exit_sign,{37},2,217
63,misc--interior--interior,{27},2,217
64,misc--interior--mouse_pad,"{152, 89, 96}",2,217
65,misc--interior--mug,{83},2,217
66,misc--interior--orange_vase,{134},2,217
67,misc--interior--painting,{133},2,217
68,misc--interior--plant,{122},2,217
69,misc--interior--poster,{84},2,217
70,misc--interior--printer,{155},2,217
71,misc--interior--radiator,{150},2,217
72,misc--interior--skysphere,"{211, 12}",2,217
73,misc--interior--sofa,{128},2,217
74,misc--interior--sphere,{66},2,217
75,misc--interior--trash_bin,"{82, 182}",2,217
76,misc--interior--tv,{126},2,217
77,misc--interior--wash_basin,{110},2,217
78,misc--other--armstrong,{97},2,217
79,misc--other--cover,{71},2,217
80,misc--other--glass_partition,{113},2,217
81,misc--other--onebay_doc_station,{175},2,217
82,misc--other--ventilation_grill,"{170, 102}",2,217
83,misc--safety--fire_extinguisher,{140},2,217
84,misc--safety--fire_stand,{142},2,217
85,misc--safety--hand_dryer,{172},2,217
86,misc--safety--sanitizer_dispenser,{90},2,217
87,misc--storage--first_aid_kit,"{158, 159}",2,217
88,misc--storage--pencil_case,{156},2,217
89,misc--storage--storage_box,"{33, 201}",2,217
90,misc--storage--suitcase,{204},2,217
91,person--medical_staff--doctor,{35},2,217
92,person--patient--patient,{32},2,217
